,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
208,1998,14,132,994,510,559,5,2001-09-21 17:30:22,1001093422,69,592
209,1385,15,61,814,465,565,0,2001-09-21 17:35:22,1001093722,22,304
210,2391,12,81,1578,525,369,3,2001-09-21 17:40:22,1001094022,98,772
211,1284,14,51,636,330,326,0,2001-09-21 17:45:22,1001094322,19,527
212,1273,17,69,687,461,477,0,2001-09-21 17:50:22,1001094622,12,294
213,1201,13,129,818,344,445,3,2001-09-21 17:55:22,1001094922,12,205
214,988,16,50,706,189,522,12,2001-09-21 18:00:22,1001095222,16,223
215,1345,14,155,827,405,423,0,2001-09-21 18:05:22,1001095522,32,229
216,1087,15,105,685,321,469,0,2001-09-21 18:10:22,1001095822,10,205
217,652,15,27,460,209,332,0,2001-09-21 18:15:22,1001096122,25,175
218,1316,15,97,974,246,311,0,2001-09-21 18:20:22,1001096422,97,352
219,1577,14,48,1168,264,348,5,2001-09-21 18:25:22,1001096722,102,385
220,1586,14,64,772,704,482,1,2001-09-21 18:30:22,1001097022,93,859
221,1536,15,50,913,481,460,0,2001-09-21 18:35:22,1001097322,50,208
222,2753,14,92,1066,2114,700,0,2001-09-21 18:40:22,1001097622,81,371
223,3478,16,41,2942,2073,496,0,2001-09-21 18:45:22,1001097922,358,1462
224,2109,16,126,1756,975,362,0,2001-09-21 18:50:22,1001098222,6,1385
225,1591,17,93,1184,425,453,2,2001-09-21 18:55:22,1001098522,37,172
226,844,15,70,502,245,314,5,2001-09-21 19:00:22,1001098822,10,213
227,1035,16,57,755,242,348,0,2001-09-21 19:05:22,1001099122,15,151
228,1260,16,80,909,249,422,0,2001-09-21 19:10:22,1001099422,65,286
229,738,14,50,439,170,356,8,2001-09-21 19:15:22,1001099722,22,181
230,673,13,21,447,206,300,0,2001-09-21 19:20:22,1001100022,20,179
231,1159,19,94,864,294,400,0,2001-09-21 19:25:22,1001100322,34,219
232,8734,15,199,8158,3809,1602,3,2001-09-21 19:30:22,1001100622,161,555
233,948,12,93,569,262,349,14,2001-09-21 19:35:22,1001100922,18,178
234,926,14,30,649,276,290,9,2001-09-21 19:40:22,1001101222,14,164
235,1211,15,26,813,310,347,1,2001-09-21 19:45:22,1001101522,28,262
236,778,15,30,551,240,312,3,2001-09-21 19:50:22,1001101822,14,171
237,1253,15,103,852,353,439,13,2001-09-21 19:55:22,1001102122,43,235
238,1267,16,47,874,379,337,0,2001-09-21 20:00:22,1001102422,9,325
239,1514,15,129,1115,413,563,5,2001-09-21 20:05:22,1001102722,22,316
240,2200,14,117,1300,343,343,0,2001-09-21 20:10:22,1001103022,10,395
241,771,13,69,497,200,304,0,2001-09-21 20:15:22,1001103322,24,286
242,716,15,63,465,220,341,0,2001-09-21 20:20:22,1001103622,36,139
243,871,17,33,608,218,379,0,2001-09-21 20:25:22,1001103922,25,181
244,1519,17,99,995,361,635,0,2001-09-21 20:30:22,1001104222,112,498
245,1015,15,99,543,403,322,0,2001-09-21 20:35:22,1001104522,23,126
246,1085,14,61,644,359,357,0,2001-09-21 20:40:22,1001104822,12,152
247,1850,14,34,1099,396,340,3,2001-09-21 20:45:22,1001105122,29,366
248,1626,15,112,1108,463,447,1,2001-09-21 20:50:22,1001105422,16,171
249,735,11,52,536,247,328,5,2001-09-21 20:55:22,1001105722,17,88
250,2838,16,403,1964,566,596,1,2001-09-21 21:00:22,1001106022,129,476
251,2066,16,332,1250,495,513,1,2001-09-21 21:05:22,1001106322,123,298
252,697,12,43,524,254,348,1,2001-09-21 21:10:22,1001106622,16,123
253,1219,10,26,785,292,332,1,2001-09-21 21:15:22,1001106922,47,234
254,1451,11,27,1101,503,408,1,2001-09-21 21:20:22,1001107222,45,177
255,721,14,52,517,199,326,0,2001-09-21 21:25:22,1001107522,34,218
256,1558,10,70,995,360,459,1,2001-09-21 21:30:22,1001107822,73,389
257,955,12,29,550,263,345,2,2001-09-21 21:35:22,1001108122,17,384
258,1072,11,26,861,241,290,1,2001-09-21 21:40:22,1001108422,18,286
259,733,13,32,555,229,294,0,2001-09-21 21:45:22,1001108722,93,234
260,852,12,70,634,217,299,0,2001-09-21 21:50:22,1001109022,28,169
261,830,11,133,412,231,245,0,2001-09-21 21:55:22,1001109322,6,273
262,672,10,27,450,188,267,0,2001-09-21 22:00:22,1001109622,15,127
263,963,14,60,657,254,308,0,2001-09-21 22:05:22,1001109922,30,212
264,1609,17,25,1214,448,391,2,2001-09-21 22:10:22,1001110222,24,248
265,1402,17,116,1129,313,438,3,2001-09-21 22:15:22,1001110522,74,490
266,1274,16,186,838,230,385,0,2001-09-21 22:20:22,1001110822,12,161
267,1084,14,29,572,398,401,0,2001-09-21 22:25:22,1001111122,15,156
268,1793,13,57,1080,410,486,0,2001-09-21 22:30:22,1001111422,41,278
269,1095,14,82,796,251,296,0,2001-09-21 22:35:22,1001111722,26,202
270,837,12,54,611,294,281,0,2001-09-21 22:40:22,1001112022,8,144
271,631,14,32,369,223,305,0,2001-09-21 22:45:22,1001112322,9,119
272,1252,13,59,949,361,326,0,2001-09-21 22:50:22,1001112622,13,450
273,1410,16,54,927,350,329,0,2001-09-21 22:55:22,1001112922,7,361
274,821,13,41,532,194,284,0,2001-09-21 23:00:22,1001113222,19,213
275,1514,21,71,946,330,463,0,2001-09-21 23:05:22,1001113522,31,383
276,871,21,58,611,223,340,0,2001-09-21 23:10:22,1001113822,21,355
277,917,10,45,478,270,350,0,2001-09-21 23:15:22,1001114122,13,225
278,1193,11,192,673,438,285,0,2001-09-21 23:20:22,1001114422,22,169
279,748,12,33,549,299,275,0,2001-09-21 23:25:22,1001114722,26,176
280,771,15,63,523,232,290,0,2001-09-21 23:30:22,1001115022,14,131
281,830,14,46,524,194,415,0,2001-09-21 23:35:22,1001115322,26,143
282,681,14,66,448,152,314,0,2001-09-21 23:40:22,1001115622,10,156
283,511,16,34,346,145,301,0,2001-09-21 23:45:22,1001115922,20,151
284,910,12,34,434,415,323,0,2001-09-21 23:50:22,1001116222,2,94
285,739,12,28,577,378,238,0,2001-09-21 23:55:22,1001116522,7,78
286,839,14,133,509,196,333,0,2001-09-22 00:00:22,1001116822,11,151
287,609,14,30,427,152,293,0,2001-09-22 00:05:22,1001117122,18,103
288,14,8,0,14,13,6,0,2001-09-22 00:10:22,1001117422,0,3
