dataset_nimda_513_5_rrc04.csv_recall,dataset_nimda_513_5_rrc04.csv_f1,dataset_nimda_513_5_rrc04.csv_precision,all_files_precision,all_files_recall,all_files_f1
[0.9473684210526315],[0.8571428571428571],[0.782608695652174],0.9965397923875432,0.4067796610169492,0.577733199598796
[0.9787798408488063],[0.9498069498069498],[0.9225],0.9179755671902269,0.7429378531073446,0.8212334113973453
[0.9605263157894737],[0.768421052631579],[0.6403508771929824],0.9275092936802974,0.7048022598870056,0.8009630818619576
[0.9428571428571428],[0.5840707964601769],[0.4230769230769231],0.9707317073170731,0.5621468926553672,0.7119856887298742
[0.9605263157894737],[0.8342857142857143],[0.7373737373737373],0.9767441860465116,0.5338983050847458,0.6904109589041091
[0.9823788546255506],[0.8560460652591171],[0.7585034013605442],0.9970059880239521,0.4703389830508475,0.6391554702495197
[0.9473684210526315],[0.8622754491017963],[0.7912087912087912],0.987987987987988,0.4646892655367232,0.6320845341018247
[0.9266770670826833],[0.8872292755787902],[0.8510028653295129],0.9969230769230769,0.4576271186440678,0.6272991287512096
[0.8571428571428571],[0.43478260869565216],[0.2912621359223301],0.9963898916967509,0.3898305084745763,0.560406091370558
[0.9964633068081344],[0.9268092105263157],[0.8662567255956957],0.9746300211416491,0.6511299435028248,0.780694326841659
[0.9590643274853801],[0.8118811881188119],[0.703862660944206],0.9939393939393939,0.4632768361581921,0.6319845857418107
[0.847953216374269],[0.5979381443298969],[0.46178343949044587],1.0,0.2768361581920904,0.4336283185840704
[0.9964633068081344],[0.9411273486430063],[0.8916139240506329],0.9851190476190477,0.4675141242937853,0.634099616858237
[0.9779735682819384],[0.9446808510638298],[0.9135802469135802],0.9853801169590644,0.4759887005649718,0.6419047619047614
[0.9920424403183024],[0.9610278372591008],[0.9318936877076412],0.9270833333333334,0.7542372881355932,0.831775700934579
[0.9428571428571428],[0.5789473684210527],[0.4177215189873418],0.9722863741339491,0.594632768361582,0.7379491673970198
[0.9],[0.7959183673469389],[0.7134146341463414],0.9853372434017595,0.4745762711864407,0.6406101048617726
[0.9823788546255506],[0.8745098039215685],[0.7879858657243817],0.9967105263157895,0.4279661016949153,0.5988142292490114
[0.9605263157894737],[0.874251497005988],[0.8021978021978022],0.9966442953020134,0.4194915254237288,0.5904572564612321
[0.9485981308411215],[0.8523442967109867],[0.7738246505717916],0.9864130434782609,0.5127118644067796,0.6747211895910775
[0.9534883720930233],[0.7068965517241379],[0.5616438356164384],0.9857954545454546,0.4901129943502825,0.654716981132075
[0.9090909090909091],[0.6837606837606837],[0.547945205479452],0.9967637540453075,0.4350282485875706,0.6057030481809238
[0.9342105263157895],[0.8352941176470589],[0.7553191489361702],0.9966101694915255,0.4152542372881356,0.5862412761714851
[0.8604651162790697],[0.7872340425531916],[0.7254901960784313],0.9964028776978417,0.3912429378531073,0.5618661257606486
[0.8857142857142857],[0.7560975609756098],[0.6595744680851063],0.9962406015037594,0.3742937853107345,0.5441478439425047
[0.9090909090909091],[0.7692307692307692],[0.6666666666666666],0.9961089494163424,0.3615819209039548,0.530569948186528
[0.8571428571428571],[0.48],[0.3333333333333333],0.9954545454545455,0.3093220338983051,0.4719827586206893
[0.8527131782945736],[0.8270676691729323],[0.8029197080291971],0.9957081545064378,0.327683615819209,0.4930924548352812
[0.9647577092511013],[0.8920570264765785],[0.8295454545454546],0.9957446808510638,0.3305084745762712,0.4962884411452806
[0.9964633068081344],[0.9249076733688962],[0.8629402756508423],0.9824120603015075,0.5522598870056498,0.7070524412296559
[0.9485981308411215],[0.8547368421052634],[0.7777777777777778],0.9865229110512129,0.5169491525423728,0.678405931417979
[0.9534883720930233],[0.7008547008547009],[0.5540540540540541],0.9886039886039886,0.4901129943502825,0.6553352219074594
[0.986784140969163],[0.910569105691057],[0.8452830188679246],0.9967213114754099,0.4293785310734463,0.6001974333662384
[0.8596491228070176],[0.624203821656051],[0.49],0.9947368421052631,0.2669491525423729,0.42093541202672574
[0.9964633068081344],[0.9001597444089456],[0.820830298616169],0.9357142857142857,0.7401129943502824,0.8264984227129332
[0.9157566302652106],[0.8914198936977981],[0.8683431952662722],0.9851190476190477,0.4675141242937853,0.634099616858237
[0.9],[0.8478260869565217],[0.8013698630136986],0.9936908517350158,0.4449152542372881,0.614634146341463
[0.9473684210526315],[0.8323699421965318],[0.7422680412371134],0.9845201238390093,0.4491525423728814,0.6168768186226959
[0.9473684210526315],[0.8481675392670157],[0.7677725118483413],0.996309963099631,0.3813559322033898,0.5515832482124612
[0.9473684210526315],[0.8727272727272727],[0.8089887640449438],0.992831541218638,0.3912429378531073,0.561296859169199
[0.973568281938326],[0.9546436285097192],[0.9364406779661016],0.9966666666666667,0.422316384180791,0.5932539682539678
[0.9893899204244032],[0.956819153484395],[0.9263245033112583],0.9159369527145359,0.7387005649717514,0.8178264268960119
[0.9736842105263158],[0.736318407960199],[0.592],0.9267399267399268,0.7146892655367232,0.8070175438596486
[0.9318181818181818],[0.5734265734265733],[0.41414141414141414],0.9634703196347032,0.596045197740113,0.7364746945898774
[0.8682170542635659],[0.7516778523489933],[0.6627218934911243],0.9878419452887538,0.4590395480225989,0.6268081002892956
[0.9473684210526315],[0.8520710059171597],[0.7741935483870968],0.9817073170731707,0.4548022598870056,0.6216216216216212
[0.9251170046801872],[0.892400300978179],[0.8619186046511628],0.9855491329479769,0.481638418079096,0.6470588235294112
[0.9153846153846154],[0.8469750889679715],[0.7880794701986755],0.99375,0.4491525423728814,0.618677042801556
