dataset,epoch,f1,precision,recall
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,0,0.884,0.794,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,0,0.878,0.826,0.936
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,0,0.633,0.492,0.886
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,0,0.897,0.815,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,0,0.554,0.394,0.932
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,0,0.859,0.777,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,0,0.789,0.674,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,0,0.922,0.905,0.939
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,0,0.811,0.702,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,0,0.745,0.625,0.923
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,0,0.854,0.768,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,0,0.774,0.651,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,0,0.807,0.76,0.86
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,0,0.944,0.917,0.974
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,0,0.42,0.278,0.857
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,0,0.865,0.8,0.941
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,0,0.878,0.803,0.969
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,0,0.796,0.709,0.907
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,0,0.942,0.924,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,0,0.9,0.82,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,0,0.954,0.938,0.97
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,0,0.586,0.427,0.932
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,0,0.834,0.737,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,0,0.776,0.695,0.877
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,0,0.815,0.718,0.942
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,0,0.772,0.705,0.853
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,0,0.584,0.457,0.807
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,0,0.858,0.792,0.936
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,0,0.949,0.964,0.934
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,0,0.689,0.564,0.886
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,0,0.875,0.833,0.921
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,0,0.916,0.848,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,0,0.656,0.506,0.932
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,0,0.775,0.71,0.853
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,0,0.864,0.785,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,0,0.834,0.741,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,0,0.806,0.703,0.944
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,0,0.962,0.937,0.989
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,0,0.92,0.862,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,0,0.455,0.309,0.857
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,0,0.705,0.585,0.886
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,0,0.956,0.948,0.965
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,0,0.937,0.93,0.945
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,0,0.855,0.754,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,0,0.737,0.592,0.977
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,0,0.62,0.493,0.836
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,0,0.877,0.833,0.927
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,0,0.896,0.839,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,0,0.873,0.809,0.947
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,0,0.821,0.755,0.9
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,0,0.917,0.849,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,0,0.754,0.645,0.908
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,0,0.89,0.858,0.924
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,0,0.85,0.772,0.947
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,0,0.863,0.769,0.982
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,0,0.961,0.935,0.989
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,0,0.929,0.871,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,0,0.571,0.416,0.914
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,0,0.854,0.768,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,0,0.577,0.443,0.825
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,0,0.948,0.925,0.974
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,0,0.833,0.854,0.814
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,0,0.959,0.948,0.969
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,0,0.861,0.798,0.934
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,0,0.458,0.312,0.857
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,0,0.942,0.924,0.961
