;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_100_;edit_distance_dict_101_;edit_distance_dict_102_;edit_distance_dict_103_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_100_;edit_distance_unique_dict_101_;edit_distance_unique_dict_102_;edit_distance_unique_dict_103_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
23;617;596;3214;5;17;0;120;1.4265630780614131;972;0;0;0;0;3;2;0;0;0;0;0;0;0;0;703;478;318;93;55;42;11;19;7;11;972;0;0;0;0;3;2;0;0;0;0;0;0;0;0;703;478;318;93;55;42;11;19;7;260;1345;513;465;457;119;1449;0;165;85;0.03702551337896702;5;2001-09-16 01:58:12;1000605492;5;11
24;482;687;3288;5;16;0;101;1.2960893854748603;1168;0;0;0;0;1;0;0;0;0;0;0;0;0;0;716;431;333;89;46;36;30;13;1;10;1168;0;0;0;0;1;0;0;0;0;0;0;0;0;0;716;431;333;89;46;36;30;13;1;156;1370;839;398;363;57;1435;0;198;138;0.017335766423357664;2;2001-09-16 02:03:12;1000605792;5;10
25;346;287;2157;4;16;0;87;1.3589905362776025;684;0;0;0;0;1;4;8;0;4;0;0;0;0;0;392;252;99;57;24;28;20;9;3;14;684;0;0;0;0;1;4;8;0;4;0;0;0;0;0;392;252;99;57;24;28;20;9;3;142;760;401;195;551;91;995;0;165;33;0.04218822438572091;3;2001-09-16 02:08:12;1000606092;4;11
26;1144;448;4416;7;14;0;127;2.0547400611620796;959;0;0;0;0;6;15;0;0;0;0;0;0;0;0;1082;399;280;45;76;64;62;142;140;11;959;0;0;0;0;6;15;0;0;0;0;0;0;0;0;1082;399;280;45;76;64;62;142;140;152;1909;635;447;1082;77;1261;0;129;55;0.017436594202898552;2;2001-09-16 02:13:12;1000606392;7;9
27;755;503;4840;4;18;0;260;1.575960951799878;1126;0;0;0;0;4;5;1;0;0;0;0;0;0;0;863;589;295;150;95;77;16;29;28;12;1126;0;0;0;0;4;5;1;0;0;0;0;0;0;0;863;589;295;150;95;77;16;29;28;131;1894;679;314;1531;162;1584;0;30;68;0.03347107438016529;3;2001-09-16 02:18:12;1000606692;4;14
28;404;282;1708;2;16;0;103;1.656887755102041;624;0;0;0;0;1;0;0;0;0;0;0;0;0;0;320;257;86;65;100;74;36;5;0;10;624;0;0;0;0;1;0;0;0;0;0;0;0;0;0;320;257;86;65;100;74;36;5;0;92;798;399;176;117;43;894;0;93;53;0.025175644028103045;1;2001-09-16 02:23:12;1000606992;2;9
29;410;474;2857;8;13;0;146;1.0787684926029588;1134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;666;312;252;71;39;20;3;4;0;8;1134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;666;312;252;71;39;20;3;4;0;182;1166;745;262;341;34;981;0;141;85;0.011900595029751488;2;2001-09-16 02:28:12;1000607292;8;9
30;512;478;3024;4;14;0;198;1.0057720057720059;1414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;674;286;229;78;30;43;10;7;1;9;1414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;674;286;229;78;30;43;10;7;1;146;1153;1010;265;213;61;1060;0;161;142;0.02017195767195767;2;2001-09-16 02:33:12;1000607592;4;10
31;404;372;1937;3;13;0;111;1.0096878363832078;786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;631;244;119;25;36;6;7;1;3;9;786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;631;244;119;25;36;6;7;1;3;141;885;491;230;67;24;834;0;141;66;0.0123902942694889;1;2001-09-16 02:38:12;1000607892;3;9
32;304;240;2182;13;13;0;168;0.8029475982532751;1042;0;0;0;0;1;0;0;0;0;0;0;0;0;0;433;215;68;15;36;10;5;4;3;10;1042;0;0;0;0;1;0;0;0;0;0;0;0;0;0;433;215;68;15;36;10;5;4;3;132;678;683;171;313;78;836;0;105;30;0.035747021081576534;4;2001-09-16 02:43:12;1000608192;8;11
33;475;568;7378;4;16;0;176;0.786774628879892;3195;0;0;0;0;12;6;0;0;0;0;0;0;0;0;1182;295;246;98;71;13;24;13;32;11;3195;0;0;0;0;12;6;0;0;0;0;0;0;0;0;1182;295;246;98;71;13;24;13;32;122;1799;2845;245;2174;303;1440;0;127;67;0.041068040119273515;3;2001-09-16 02:48:12;1000608492;2;9
