;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
25;356;274;1992;4;12;0;208;1.102925243770314;834;0;0;0;0;0;0;0;0;0;0;507;284;73;77;33;17;2;18;1;9;834;0;0;0;0;0;0;0;0;0;0;507;284;73;77;33;17;2;18;1;179;858;399;202;127;24;892;0;115;86;0.012048192771084338;3;2001-09-15 02:06:34;1000519594;4;9
26;217;337;1619;4;10;0;193;1.1052274270196878;592;0;0;0;0;0;0;0;0;0;0;428;282;108;37;11;4;4;6;1;9;592;0;0;0;0;0;0;0;0;0;0;428;282;108;37;11;4;4;6;1;65;806;313;96;130;23;900;0;68;14;0.014206300185299567;2;2001-09-15 02:11:34;1000519894;3;10
27;221;227;1837;4;15;0;64;0.8533604887983707;798;1;0;0;0;0;0;0;0;0;0;366;174;70;30;18;8;1;5;2;10;798;1;0;0;0;0;0;0;0;0;0;366;174;70;30;18;8;1;5;2;99;561;603;146;353;111;881;0;127;28;0.06042460533478498;2;2001-09-15 02:16:34;1000520194;4;12
28;228;297;1513;2;15;0;85;1.251269035532995;469;0;0;0;0;0;0;0;0;0;0;273;234;127;53;16;6;3;1;0;8;469;0;0;0;0;0;0;0;0;0;0;273;234;127;53;16;6;3;1;0;92;496;253;256;301;36;680;0;50;20;0.023793787177792465;2;2001-09-15 02:21:34;1000520494;2;11
29;302;259;1582;8;14;0;81;1.211482558139535;585;2;1;0;0;0;0;0;0;0;0;380;198;89;58;37;11;10;5;0;11;585;2;1;0;0;0;0;0;0;0;0;380;198;89;58;37;11;10;5;0;115;665;341;174;192;50;979;0;85;11;0.0316055625790139;4;2001-09-15 02:26:34;1000520794;6;9
30;226;286;1418;2;15;0;99;1.3777955271565496;558;5;3;2;0;0;0;0;0;0;0;259;205;81;55;48;18;11;2;5;12;558;5;3;2;0;0;0;0;0;0;0;259;205;81;55;48;18;11;2;5;99;569;323;162;129;29;939;0;55;7;0.020451339915373765;2;2001-09-15 02:31:34;1000521094;2;9
31;223;194;1285;3;13;0;112;0.9195688225538972;578;0;0;0;0;0;0;0;0;0;0;303;222;64;25;14;0;0;0;0;5;578;0;0;0;0;0;0;0;0;0;0;303;222;64;25;14;0;0;0;0;132;534;277;151;77;25;791;0;96;25;0.019455252918287938;3;2001-09-15 02:36:34;1000521394;3;9
32;194;255;1549;4;11;0;99;1.1134020618556701;555;0;0;0;0;0;0;0;0;0;0;265;189;79;18;13;38;6;0;1;9;555;0;0;0;0;0;0;0;0;0;0;265;189;79;18;13;38;6;0;1;90;497;340;138;349;63;748;0;125;13;0.040671400903808906;2;2001-09-15 02:41:34;1000521694;4;9
33;260;409;2639;4;14;0;177;0.8668067226890757;1408;0;0;0;0;0;0;0;0;0;0;438;251;174;26;22;40;21;0;0;7;1408;0;0;0;0;0;0;0;0;0;0;438;251;174;26;22;40;21;0;0;101;806;1084;212;243;28;1178;0;120;30;0.010602044680045438;1;2001-09-15 02:46:34;1000521994;4;14
34;219;222;1622;3;13;0;101;0.9192956713132795;698;0;0;0;0;0;0;0;0;0;0;362;161;69;27;31;8;6;0;1;9;698;0;0;0;0;0;0;0;0;0;0;362;161;69;27;31;8;6;0;1;84;597;479;102;248;37;842;0;86;33;0.02281134401972873;2;2001-09-15 02:51:34;1000522294;3;7
