;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_20_;edit_distance_dict_21_;edit_distance_dict_22_;edit_distance_dict_23_;edit_distance_dict_24_;edit_distance_dict_25_;edit_distance_dict_26_;edit_distance_dict_27_;edit_distance_dict_29_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_20_;edit_distance_unique_dict_21_;edit_distance_unique_dict_22_;edit_distance_unique_dict_23_;edit_distance_unique_dict_24_;edit_distance_unique_dict_25_;edit_distance_unique_dict_26_;edit_distance_unique_dict_27_;edit_distance_unique_dict_29_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
21;732;1056;4191;4;15;0;261;1.5231614760533891;1518;0;4;0;0;0;0;0;0;0;0;717;0;0;0;0;0;0;0;0;0;586;458;260;216;46;12;3;1;11;1518;0;4;0;0;0;0;0;0;0;0;717;0;0;0;0;0;0;0;0;0;586;458;260;216;46;12;3;1;310;1504;794;952;355;23;1201;0;289;207;0.0054879503698401335;3;2001-09-26 01:49:07;1001468947;4;11
22;1317;1082;5646;4;19;0;206;1.8703331097697296;1128;14;26;3;2;1;1;0;0;0;0;1228;0;0;0;0;0;0;0;0;0;739;742;267;158;119;20;20;5;15;1128;14;26;3;2;1;1;0;0;0;0;1228;0;0;0;0;0;0;0;0;0;739;742;267;158;119;20;20;5;147;2650;680;790;1070;72;1633;0;272;291;0.012752391073326248;3;2001-09-26 01:54:07;1001469247;4;9
23;728;795;5740;3;17;0;377;1.3340370631011025;1730;5;2;2;1;0;0;0;0;0;0;1137;0;0;0;0;0;0;0;0;0;493;430;287;98;34;29;15;0;13;1730;5;2;2;1;0;0;0;0;0;0;1137;0;0;0;0;0;0;0;0;0;493;430;287;98;34;29;15;0;169;2163;1029;525;1257;85;1973;0;253;191;0.014808362369337979;3;2001-09-26 01:59:07;1001469547;3;10
24;678;1886;6885;5;17;0;458;1.6744982868330887;2645;33;45;65;10;7;0;0;0;0;0;1152;0;0;0;0;0;0;0;0;0;644;852;332;121;121;47;49;6;14;2645;33;45;65;10;7;0;0;0;0;0;1152;0;0;0;0;0;0;0;0;0;644;852;332;121;121;47;49;6;240;2752;1681;998;388;7;1890;16;378;233;0.0010167029774872912;2;2001-09-26 02:04:07;1001469847;3;9
25;473;477;2850;4;17;0;276;1.4429928741092637;1155;4;11;36;7;3;0;0;0;0;0;433;0;0;0;0;0;0;0;0;0;404;285;135;42;5;5;1;0;14;1155;4;11;36;7;3;0;0;0;0;0;433;0;0;0;0;0;0;0;0;0;404;285;135;42;5;5;1;0;146;1179;641;284;287;22;1323;0;112;117;0.0077192982456140355;2;2001-09-26 02:09:07;1001470147;4;8
26;497;390;2235;4;17;0;192;1.8040275049115913;806;34;19;28;14;4;0;0;0;0;0;415;0;0;0;0;0;0;0;0;0;278;283;84;52;7;5;6;1;14;806;34;19;28;14;4;0;0;0;0;0;415;0;0;0;0;0;0;0;0;0;278;283;84;52;7;5;6;1;128;958;413;345;181;22;1071;0;142;78;0.009843400447427294;2;2001-09-26 02:14:07;1001470447;4;11
27;567;986;3450;4;14;0;263;1.598048185422385;1118;9;3;0;0;0;0;0;0;0;0;688;0;0;0;0;0;0;0;0;0;653;348;274;148;28;6;3;1;11;1118;9;3;0;0;0;0;0;0;0;0;688;0;0;0;0;0;0;0;0;0;653;348;274;148;28;6;3;1;208;1444;529;835;130;4;1045;0;220;167;0.0011594202898550724;1;2001-09-26 02:19:07;1001470747;4;10
28;685;555;2917;3;14;0;351;1.3088235294117647;1231;4;7;3;2;0;0;0;0;0;0;608;0;0;0;0;0;0;0;0;0;320;356;169;62;18;4;4;0;13;1231;4;7;3;2;0;0;0;0;0;0;608;0;0;0;0;0;0;0;0;0;320;356;169;62;18;4;4;0;202;1212;619;404;122;9;1180;0;153;77;0.0030853616729516627;3;2001-09-26 02:24:07;1001471047;3;10
29;547;691;3222;5;15;0;245;1.5318704284221525;1112;1;11;4;0;0;0;0;0;0;0;605;0;0;0;0;0;0;0;0;0;436;383;141;104;33;22;14;5;12;1112;1;11;4;0;0;0;0;0;0;0;605;0;0;0;0;0;0;0;0;0;436;383;141;104;33;22;14;5;184;1380;608;454;295;14;1442;0;197;125;0.004345127250155183;2;2001-09-26 02:29:07;1001471347;5;12
30;724;551;3893;3;13;0;317;1.3657178217821782;1355;14;9;3;1;0;0;0;0;0;0;685;0;0;0;0;0;0;0;0;0;447;460;161;74;14;4;4;1;13;1355;14;9;3;1;0;0;0;0;0;0;685;0;0;0;0;0;0;0;0;0;447;460;161;74;14;4;4;1;125;1680;860;250;647;15;1268;0;179;132;0.003853069612124326;1;2001-09-26 02:34:07;1001471647;3;11
