,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_20_,edit_distance_dict_21_,edit_distance_dict_22_,edit_distance_dict_23_,edit_distance_dict_24_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_20_,edit_distance_unique_dict_21_,edit_distance_unique_dict_22_,edit_distance_unique_dict_23_,edit_distance_unique_dict_24_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
23,207,159,1078,5,15,39,2.0553797468,121,0,0,6,0,0,0,0,0,0,0,67,0,0,0,0,0,274,76,67,13,5,3,0,0,12,121,0,0,6,0,0,0,0,0,0,0,67,0,0,0,0,0,274,76,67,13,5,3,0,0,44,461,30,58,344,86,323,4,34,14,0.0797773655,2,2001-07-14 02:04:11,5,10,0
24,170,265,843,5,12,8,2.2519201229,173,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,122,90,85,42,23,21,2,1,9,173,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,122,90,85,42,23,21,2,1,25,363,93,162,114,42,332,3,24,4,0.0498220641,3,2001-07-14 02:09:11,4,9,0
25,202,173,770,12,14,32,2.0621301775,138,1,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,234,79,57,40,14,2,6,0,10,138,1,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,234,79,57,40,14,2,6,0,50,446,32,116,66,47,393,6,30,4,0.061038961,2,2001-07-14 02:14:11,8,9,0
26,108,103,408,7,24,17,1.976744186,74,0,0,0,0,0,0,0,0,0,0,102,2,0,2,0,0,77,49,18,9,5,2,4,0,22,74,0,0,0,0,0,0,0,0,0,0,102,2,0,2,0,0,77,49,18,9,5,2,4,0,31,221,17,58,52,34,211,7,60,5,0.0833333333,2,2001-07-14 02:19:11,7,10,0
27,312,311,1072,5,16,34,2.0048828125,263,0,0,3,2,4,0,0,0,0,0,63,0,0,0,0,0,421,142,63,38,13,12,0,0,14,263,0,0,3,2,4,0,0,0,0,0,63,0,0,0,0,0,421,142,63,38,13,12,0,0,144,506,74,266,30,25,237,0,63,14,0.0233208955,3,2001-07-14 02:24:11,5,9,0
28,93,125,444,6,26,21,2.3497409326,104,0,0,5,4,3,0,0,0,0,0,44,2,0,0,0,0,106,64,34,5,5,8,0,2,20,104,0,0,5,4,3,0,0,0,0,0,44,2,0,0,0,0,106,64,34,5,5,8,0,2,47,224,22,72,47,33,236,0,30,18,0.0743243243,2,2001-07-14 02:29:11,6,10,0
29,124,113,489,5,17,42,1.9182692308,122,0,0,4,1,0,0,0,0,0,0,71,0,0,0,0,0,102,49,43,11,5,6,2,0,13,122,0,0,4,1,0,0,0,0,0,0,71,0,0,0,0,0,102,49,43,11,5,6,2,0,42,236,28,68,58,25,237,1,52,22,0.0511247444,2,2001-07-14 02:34:11,5,9,0
30,554,168,1103,6,15,21,2.2994652406,65,1,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,252,209,70,5,4,55,3,0,10,65,1,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,252,209,70,5,4,55,3,0,34,836,7,37,157,28,231,0,21,0,0.0253853128,1,2001-07-14 02:39:11,6,9,0
31,625,993,8648,8,16,140,2.1431209603,265,2,1,2,2,0,0,0,0,0,0,481,0,0,0,0,0,614,489,213,73,12,4,4,4,13,265,2,1,2,2,0,0,0,0,0,0,481,0,0,0,0,0,614,489,213,73,12,4,4,4,102,1474,19,431,6464,727,1395,3,193,11,0.0840656799,3,2001-07-14 02:44:11,7,10,0
32,85,113,374,6,16,30,2.3383233533,103,0,2,3,6,2,0,0,0,0,0,67,0,0,0,0,0,48,30,32,23,10,5,1,2,14,103,0,2,3,6,2,0,0,0,0,0,67,0,0,0,0,0,48,30,32,23,10,5,1,2,30,187,36,51,39,7,208,0,39,13,0.0187165775,1,2001-07-14 02:49:11,5,9,0
