,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_20_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_20_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
44,432,277,1435,5,16,114,2.0735694823,347,12,0,4,8,3,0,0,0,0,0,222,0,150,201,85,7,14,0,47,1,14,347,12,0,4,8,3,0,0,0,0,0,222,0,150,201,85,7,14,0,47,1,59,650,153,125,320,47,288,0,36,13,0.0327526132,2,2001-07-16 03:49:36,4,10,0
45,101,131,1125,7,14,28,1.012755102,480,10,0,3,0,0,0,0,0,0,0,68,0,137,57,11,7,11,0,0,0,12,480,10,0,3,0,0,0,0,0,0,0,68,0,137,57,11,7,11,0,0,0,82,219,281,174,227,51,343,0,71,8,0.0453333333,3,2001-07-16 03:54:36,5,10,0
46,79,135,601,5,16,113,1.8326271186,185,2,0,8,1,1,0,0,0,0,0,70,0,79,61,40,6,15,1,3,0,14,185,2,0,8,1,1,0,0,0,0,0,70,0,79,61,40,6,15,1,3,0,41,240,20,58,122,35,252,0,54,0,0.0582362729,2,2001-07-16 03:59:36,5,8,0
47,228,300,976,4,15,35,2.6990679095,151,23,3,7,16,1,0,0,0,0,0,89,0,186,133,129,5,4,1,1,2,14,151,23,3,7,16,1,0,0,0,0,0,89,0,186,133,129,5,4,1,1,2,43,419,56,198,100,55,233,1,90,66,0.0562947799,2,2001-07-16 04:04:36,4,10,0
48,234,135,754,4,15,19,2.495543672,117,13,1,21,0,0,0,0,0,0,0,81,0,188,71,31,21,12,4,1,0,12,117,13,1,21,0,0,0,0,0,0,0,81,0,188,71,31,21,12,4,1,0,80,384,10,68,117,55,296,7,67,0,0.0729442971,3,2001-07-16 04:09:36,4,11,0
49,398,408,1238,7,15,60,2.0661478599,150,2,0,12,0,0,0,0,0,0,0,192,0,376,215,47,26,6,0,1,1,12,150,2,0,12,0,0,0,0,0,0,0,192,0,376,215,47,26,6,0,1,1,51,712,28,177,192,36,323,0,100,7,0.0290791599,3,2001-07-16 04:14:36,7,10,0
50,146,231,861,6,18,27,3.0443262411,87,5,4,47,0,0,1,1,0,0,0,134,0,179,31,20,5,30,2,18,0,16,87,5,4,47,0,0,1,1,0,0,0,134,0,179,31,20,5,30,2,18,0,34,439,24,40,224,44,254,0,13,5,0.0511033682,2,2001-07-16 04:19:36,5,9,0
51,117,78,779,2,17,75,1.4660550459,181,2,5,0,0,0,2,0,0,0,0,187,0,74,42,39,7,2,3,0,1,15,181,2,5,0,0,0,2,0,0,0,0,187,0,74,42,39,7,2,3,0,1,36,300,68,66,214,51,258,0,39,0,0.0654685494,3,2001-07-16 04:24:36,2,9,0
52,151,299,1389,6,13,43,1.7841163311,143,3,0,0,0,0,0,0,0,0,0,289,0,215,175,45,13,4,4,3,0,10,143,3,0,0,0,0,0,0,0,0,0,289,0,215,175,45,13,4,4,3,0,60,669,24,98,471,72,389,0,31,1,0.0518358531,2,2001-07-16 04:29:36,6,10,0
53,178,221,717,3,14,14,2.1895424837,126,2,0,1,0,0,0,0,0,0,0,118,0,129,129,44,30,19,7,7,0,12,126,2,0,1,0,0,0,0,0,0,0,118,0,129,129,44,30,19,7,7,0,38,415,57,88,75,52,359,0,48,14,0.0725244073,2,2001-07-16 04:34:36,3,10,0
