,announcements,as_path_max,imp_wd_dpath,imp_wd_spath,origin_0_,origin_1_,timestamp,timestamp2
167,1630,14,950,297,712,15,2001-09-23 14:09:10,1001254150
168,4206,14,1488,764,1342,13,2001-09-23 14:14:10,1001254450
169,5474,12,3003,1094,1481,0,2001-09-23 14:19:10,1001254750
170,3753,13,1495,920,1378,0,2001-09-23 14:24:10,1001255050
171,3355,12,1614,627,1348,0,2001-09-23 14:29:10,1001255350
172,4945,16,2239,1247,1281,0,2001-09-23 14:34:10,1001255650
173,3461,15,1401,818,1179,0,2001-09-23 14:39:10,1001255950
174,3223,15,1535,864,1202,0,2001-09-23 14:44:10,1001256250
175,4404,18,1810,1389,1412,0,2001-09-23 14:49:10,1001256550
176,4360,15,1740,975,1303,0,2001-09-23 14:54:10,1001256850
177,3693,14,1721,782,1244,0,2001-09-23 14:59:10,1001257150
178,6446,12,2345,796,1222,0,2001-09-23 15:04:10,1001257450
179,4766,18,2850,916,1435,0,2001-09-23 15:09:10,1001257750
180,5696,11,2475,1404,1215,1,2001-09-23 15:14:10,1001258050
181,2816,12,1148,712,1173,0,2001-09-23 15:19:10,1001258350
182,4289,14,1918,965,1342,0,2001-09-23 15:24:10,1001258650
183,4244,12,2023,1055,1529,0,2001-09-23 15:29:10,1001258950
184,6621,17,4223,1309,1747,0,2001-09-23 15:34:10,1001259250
185,2352,17,1180,608,1098,0,2001-09-23 15:39:10,1001259550
186,2919,16,1405,879,958,0,2001-09-23 15:44:10,1001259850
187,2813,12,1391,636,947,0,2001-09-23 15:49:10,1001260150
188,1870,13,809,393,869,1,2001-09-23 15:54:10,1001260450
189,3606,29,1934,756,1081,0,2001-09-23 15:59:10,1001260750
190,2175,14,1082,463,1093,0,2001-09-23 16:04:10,1001261050
191,1488,14,712,377,1006,0,2001-09-23 16:09:10,1001261350
192,2395,14,1166,596,1069,0,2001-09-23 16:14:10,1001261650
193,2022,12,773,583,940,0,2001-09-23 16:19:10,1001261950
194,4681,15,1790,1198,1164,4,2001-09-23 16:24:10,1001262250
195,3799,13,2038,854,901,0,2001-09-23 16:29:10,1001262550
196,3769,26,2111,986,1138,0,2001-09-23 16:34:10,1001262850
197,2720,14,1284,559,1061,0,2001-09-23 16:39:10,1001263150
198,1638,14,781,382,1133,0,2001-09-23 16:44:10,1001263450
199,5527,18,2121,716,1798,2,2001-09-23 16:49:10,1001263750
200,3938,16,2311,576,1119,0,2001-09-23 16:54:10,1001264050
201,2745,19,1199,393,1040,0,2001-09-23 16:59:10,1001264350
202,2294,14,1157,532,886,0,2001-09-23 17:04:10,1001264650
203,3112,11,1308,748,1350,0,2001-09-23 17:09:10,1001264950
204,1912,14,916,405,1104,0,2001-09-23 17:14:10,1001265250
205,3076,15,1867,501,1081,0,2001-09-23 17:19:10,1001265550
206,3201,11,1558,868,832,0,2001-09-23 17:24:10,1001265850
207,2740,15,1252,365,1163,0,2001-09-23 17:29:10,1001266150
208,5308,15,2261,1148,1145,6,2001-09-23 17:34:10,1001266450
209,5187,11,2785,1058,1226,0,2001-09-23 17:39:10,1001266750
210,5120,24,2784,1064,1374,0,2001-09-23 17:44:10,1001267050
211,4601,14,2686,902,1308,0,2001-09-23 17:49:10,1001267350
212,1786,11,834,374,943,0,2001-09-23 17:54:10,1001267650
213,1995,13,962,425,1075,0,2001-09-23 17:59:10,1001267950
214,2545,13,1134,697,1111,0,2001-09-23 18:04:10,1001268250
215,2889,12,1022,434,943,0,2001-09-23 18:09:10,1001268550
216,3181,13,1955,537,1222,0,2001-09-23 18:14:10,1001268850
217,2666,13,1061,985,970,0,2001-09-23 18:19:10,1001269150
218,2319,10,839,466,779,0,2001-09-23 18:24:10,1001269450
219,1877,11,789,432,789,0,2001-09-23 18:29:10,1001269750
220,2839,12,1526,509,1113,0,2001-09-23 18:34:10,1001270050
221,2857,13,1438,447,1309,0,2001-09-23 18:39:10,1001270350
222,9258,13,2889,1982,2271,20,2001-09-23 18:44:10,1001270650
223,1831,13,850,492,844,0,2001-09-23 18:49:10,1001270950
224,1967,15,823,407,989,0,2001-09-23 18:54:10,1001271250
225,1906,17,866,384,1021,0,2001-09-23 18:59:10,1001271550
226,3036,14,1282,535,1406,0,2001-09-23 19:04:10,1001271850
227,1781,15,884,308,786,0,2001-09-23 19:09:10,1001272150
228,1511,13,523,413,769,0,2001-09-23 19:14:10,1001272450
229,3935,18,2164,743,1560,0,2001-09-23 19:19:10,1001272750
230,3773,13,1509,785,1015,0,2001-09-23 19:24:10,1001273050
231,4308,14,1927,862,1571,0,2001-09-23 19:29:10,1001273350
232,3159,15,1355,829,1189,0,2001-09-23 19:34:10,1001273650
233,2333,14,1181,374,1038,0,2001-09-23 19:39:10,1001273950
234,3097,14,1560,512,1196,0,2001-09-23 19:44:10,1001274250
235,2550,13,1328,475,1095,0,2001-09-23 19:49:10,1001274550
236,2535,11,1170,587,1034,0,2001-09-23 19:54:10,1001274850
237,3900,14,2006,711,1342,0,2001-09-23 19:59:10,1001275150
238,2697,14,1082,704,960,0,2001-09-23 20:04:10,1001275450
239,2897,14,1288,525,1074,5,2001-09-23 20:09:10,1001275750
240,2588,12,1424,504,1038,7,2001-09-23 20:14:10,1001276050
241,2537,14,1407,386,1072,8,2001-09-23 20:19:10,1001276350
242,3694,15,1815,641,1405,2,2001-09-23 20:24:10,1001276650
243,4062,14,2124,812,1761,4,2001-09-23 20:29:10,1001276950
244,2312,16,1175,463,1115,2,2001-09-23 20:34:10,1001277250
245,4232,13,2327,1105,1034,2,2001-09-23 20:39:10,1001277550
246,6767,17,2420,1370,1339,0,2001-09-23 20:44:10,1001277850
247,4830,17,2872,914,1418,0,2001-09-23 20:49:10,1001278150
248,2501,13,1292,483,1231,0,2001-09-23 20:54:10,1001278450
249,1578,12,764,348,823,0,2001-09-23 20:59:10,1001278750
250,3002,15,1769,577,874,0,2001-09-23 21:04:10,1001279050
251,3602,16,1658,884,1103,1,2001-09-23 21:09:10,1001279350
252,2597,19,1243,470,1074,0,2001-09-23 21:14:10,1001279650
253,3104,17,1300,548,1175,0,2001-09-23 21:19:10,1001279950
254,2497,17,1064,485,1109,0,2001-09-23 21:24:10,1001280250
255,1529,14,677,345,821,0,2001-09-23 21:29:10,1001280550
256,1831,14,794,323,666,0,2001-09-23 21:34:10,1001280850
257,2752,14,1457,575,892,0,2001-09-23 21:39:10,1001281150
258,3787,14,2172,703,1144,0,2001-09-23 21:44:10,1001281450
259,2866,13,1187,672,1136,0,2001-09-23 21:49:10,1001281750
260,2308,15,1017,536,1050,0,2001-09-23 21:54:10,1001282050
261,3078,15,1432,915,1112,0,2001-09-23 21:59:10,1001282350
262,1875,16,670,462,917,0,2001-09-23 22:04:10,1001282650
263,2466,20,1004,637,1143,1,2001-09-23 22:09:10,1001282950
264,2150,12,947,632,1056,1,2001-09-23 22:14:10,1001283250
265,2272,15,795,685,1149,0,2001-09-23 22:19:10,1001283550
266,1943,17,764,622,864,0,2001-09-23 22:24:10,1001283850
267,3068,13,1500,480,979,0,2001-09-23 22:29:10,1001284150
268,2197,15,897,436,1045,0,2001-09-23 22:34:10,1001284450
269,1974,15,837,618,829,0,2001-09-23 22:39:10,1001284750
270,5508,17,2467,466,1708,0,2001-09-23 22:44:10,1001285050
271,7344,16,2539,706,2284,1,2001-09-23 22:49:10,1001285350
272,6558,12,3514,924,2049,0,2001-09-23 22:54:10,1001285650
273,3679,13,1709,1013,1202,0,2001-09-23 22:59:10,1001285950
274,2168,15,1131,440,881,1,2001-09-23 23:04:10,1001286250
275,2431,11,883,986,1006,0,2001-09-23 23:09:10,1001286550
276,2987,11,1062,1300,1091,0,2001-09-23 23:14:10,1001286850
277,2843,12,1246,1042,1052,0,2001-09-23 23:19:10,1001287150
278,2037,12,812,450,868,0,2001-09-23 23:24:10,1001287450
279,1824,11,859,395,829,0,2001-09-23 23:29:10,1001287750
280,7340,15,4424,1212,1706,0,2001-09-23 23:34:10,1001288050
281,2599,13,1469,422,891,0,2001-09-23 23:39:10,1001288350
282,4041,13,1831,499,1501,1,2001-09-23 23:44:10,1001288650
283,6856,11,4934,746,2069,1,2001-09-23 23:49:10,1001288950
284,7091,13,4498,832,1731,1,2001-09-23 23:54:10,1001289250
285,902,9,376,216,443,0,2001-09-23 23:59:10,1001289550
