,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
26,276,288,1379,4,14,37,2.198974359,135,7,2,2,0,0,0,0,0,0,0,271,204,210,46,65,25,4,4,0,12,135,7,2,2,0,0,0,0,0,0,0,271,204,210,46,65,25,4,4,0,51,799,32,56,373,61,478,0,51,14,0.0441389291,2,2001-07-20 02:20:28,4,11,0
27,266,610,1620,3,21,102,2.19527897,234,0,0,8,0,0,0,0,0,1,1,323,316,247,153,80,23,6,6,0,19,234,0,0,8,0,0,0,0,0,1,1,323,316,247,153,80,23,6,6,0,52,1061,36,147,183,54,569,0,112,18,0.0332922318,2,2001-07-20 02:25:28,3,9,0
28,542,447,1879,8,17,189,1.9102486355,332,0,0,0,0,0,0,0,0,0,0,452,326,306,86,115,23,4,2,3,9,332,0,0,0,0,0,0,0,0,0,0,452,326,306,86,115,23,4,2,3,50,1193,74,143,198,63,708,0,145,37,0.0335284726,2,2001-07-20 02:30:28,4,14,0
29,674,584,2421,3,13,68,2.4715719064,145,0,0,0,0,0,0,0,0,0,0,579,335,303,155,99,110,50,11,7,9,145,0,0,0,0,0,0,0,0,0,0,579,335,303,155,99,110,50,11,7,27,1401,37,261,399,44,784,1,96,21,0.0181743081,2,2001-07-20 02:35:28,3,11,0
30,817,937,2866,5,16,150,2.6749131944,306,2,40,14,0,0,0,0,0,0,0,512,558,332,162,142,141,64,20,11,12,306,2,40,14,0,0,0,0,0,0,0,512,558,332,162,142,141,64,20,11,86,1663,57,348,472,68,779,1,190,58,0.023726448,2,2001-07-20 02:40:28,5,11,0
31,234,415,1377,5,21,87,2.3803418803,267,0,8,3,8,0,0,0,0,8,8,310,201,121,87,87,37,20,4,1,19,267,0,8,3,8,0,0,0,0,8,8,310,201,121,87,87,37,20,4,1,106,681,46,250,154,50,504,0,93,55,0.0363108206,3,2001-07-20 02:45:28,5,10,0
32,192,276,1046,7,20,71,1.6746031746,245,0,0,0,0,0,1,1,0,0,0,290,148,70,54,22,35,14,2,0,16,245,0,0,0,0,0,1,1,0,0,0,290,148,70,54,22,35,14,2,0,52,547,96,116,126,38,547,1,56,32,0.0363288719,3,2001-07-20 02:50:28,4,10,0
33,211,295,1091,3,16,56,1.9844311377,143,9,4,4,0,0,0,0,0,0,0,280,174,135,26,34,20,2,2,2,12,143,9,4,4,0,0,0,0,0,0,0,280,174,135,26,34,20,2,2,2,42,633,42,62,226,52,531,0,64,22,0.0476626948,2,2001-07-20 02:55:28,3,9,0
34,804,588,2324,4,14,149,2.1749159058,260,6,0,1,0,0,0,0,0,0,0,778,363,263,104,141,125,33,4,3,12,260,6,0,1,0,0,0,0,0,0,0,778,363,263,104,141,125,33,4,3,40,1553,38,301,224,53,688,7,97,16,0.0228055077,2,2001-07-20 03:00:28,4,11,0
35,322,427,1493,3,12,110,1.9352465048,398,0,3,7,0,0,0,0,0,0,0,270,296,162,67,90,30,23,11,2,12,398,0,3,7,0,0,0,0,0,0,0,270,296,162,67,90,30,23,11,2,227,759,49,214,121,31,656,6,44,16,0.0207635633,2,2001-07-20 03:05:28,3,9,0
