dataset,epoch,f1,precision,recall
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,9,0.93,0.912,0.949
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,9,0.79,0.696,0.914
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,2,0.985,0.978,0.991
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,9,0.88,0.84,0.924
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,7,0.966,0.938,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,7,0.964,0.938,0.991
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,9,0.992,0.988,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,9,0.887,0.841,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,0,0.943,0.904,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,9,0.88,0.825,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,2,0.993,1.0,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,9,0.943,0.927,0.959
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,9,0.963,0.944,0.982
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,8,0.95,0.948,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,9,0.961,0.937,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,8,0.929,0.935,0.924
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,9,0.909,0.889,0.93
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,1,0.987,0.987,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,9,0.877,0.829,0.931
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,8,0.994,0.992,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,3,0.968,0.945,0.991
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,8,0.913,0.875,0.955
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,9,0.903,0.871,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,8,0.988,0.98,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,9,0.934,0.919,0.95
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,8,0.919,0.871,0.974
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,9,0.969,0.947,0.992
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,8,0.98,0.974,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,8,0.857,0.786,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,6,0.842,0.78,0.914
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,3,0.98,0.966,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,9,0.974,0.984,0.965
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,2,0.991,0.987,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,9,0.903,0.871,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,0,0.987,0.987,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,9,0.924,0.919,0.93
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,9,0.96,0.926,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,8,0.943,0.932,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,9,0.989,0.98,0.997
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,8,0.919,0.871,0.974
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,8,0.962,0.954,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,0,0.982,0.978,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,9,0.92,0.888,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,6,0.896,0.87,0.923
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,9,0.995,0.993,0.997
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,9,0.936,0.924,0.949
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,7,0.872,0.791,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,2,0.98,0.987,0.974
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,9,0.835,0.75,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,9,0.899,0.889,0.909
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,8,0.965,0.96,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,1,0.987,0.987,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,7,0.996,0.995,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,8,0.917,0.892,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,8,0.93,0.917,0.944
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,6,0.987,0.978,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,3,0.974,0.962,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,9,0.938,0.946,0.93
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,0,0.872,0.908,0.838
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,6,0.991,0.987,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,9,0.91,0.883,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,7,0.966,0.938,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,6,0.966,0.955,0.977
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,9,0.929,0.903,0.956
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,3,0.925,0.881,0.974
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,9,0.894,0.84,0.955
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,8,0.892,0.846,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,9,0.969,0.949,0.99
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,7,0.989,0.981,0.997
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,9,0.95,0.938,0.963
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,9,0.928,0.92,0.936
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,6,0.931,0.892,0.974
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,9,0.893,0.858,0.931
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,9,0.996,0.996,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,8,0.971,0.963,0.98
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,3,0.996,0.996,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,0,0.94,0.942,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,9,0.968,0.942,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,9,0.91,0.883,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,2,0.993,1.0,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,5,0.99,0.983,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,8,0.968,0.96,0.977
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,3,0.944,0.919,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,9,0.977,0.977,0.977
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,0,0.993,1.0,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,6,0.93,0.917,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,3,0.991,0.987,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,7,0.903,0.857,0.955
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,6,0.989,0.977,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,6,0.995,0.992,0.998
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,6,0.933,0.913,0.955
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,0,0.987,1.0,0.974
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,5,0.991,0.985,0.997
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,9,0.95,0.958,0.942
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,0,0.879,0.924,0.838
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,2,0.98,0.974,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,9,0.929,0.897,0.963
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,6,0.974,0.971,0.977
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,3,0.944,0.919,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,9,0.975,0.959,0.992
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,8,0.972,0.95,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,9,0.917,0.892,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,7,0.92,0.903,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,1,0.954,0.96,0.947
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,8,0.937,0.916,0.958
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,0,0.993,0.991,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,4,0.989,0.983,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,9,0.986,0.977,0.994
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,8,0.99,0.984,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,9,0.914,0.891,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,9,0.94,0.919,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,9,0.846,0.767,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,9,0.958,0.944,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,1,0.996,0.996,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,9,0.924,0.91,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,7,0.943,0.904,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,4,0.989,0.977,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,9,0.976,0.966,0.986
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,9,0.951,0.937,0.966
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,9,0.989,0.983,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,8,1.0,1.0,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,9,0.901,0.872,0.932
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,0,0.974,0.954,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,9,0.996,0.995,0.997
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,9,0.947,0.953,0.942
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,2,0.987,0.987,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,9,0.944,0.924,0.966
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,9,0.996,0.993,0.998
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,6,0.923,0.894,0.955
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,6,0.929,0.899,0.962
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,7,0.956,0.959,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,7,0.933,0.92,0.947
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,6,0.944,0.913,0.977
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,7,0.99,0.984,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,5,0.938,0.893,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,0,0.987,0.987,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,8,0.932,0.895,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,7,0.986,0.977,0.994
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,9,0.978,0.975,0.981
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,0,0.996,0.996,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,9,0.921,0.897,0.946
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,0,0.991,0.987,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,8,0.971,0.971,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,6,0.972,0.95,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,6,1.0,1.0,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,9,0.942,0.916,0.97
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,1,0.993,0.987,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,9,0.932,0.895,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,1,0.972,0.95,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,7,0.935,0.918,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,1,0.998,0.996,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,9,0.953,0.941,0.966
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,9,0.947,0.926,0.969
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,9,0.996,0.994,0.998
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,9,0.992,0.987,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,8,0.975,0.971,0.98
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,9,0.977,0.956,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,6,0.988,0.983,0.994
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,9,0.986,0.972,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,8,1.0,1.0,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,5,0.996,0.991,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,6,0.993,0.987,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,9,0.959,0.959,0.959
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,9,0.966,0.956,0.977
