dataset_nimda_513_5_rrc04.csv_recall,dataset_nimda_513_5_rrc04.csv_f1,dataset_nimda_513_5_rrc04.csv_precision,all_files_precision,all_files_recall,all_files_f1
"[0.7906976744186046, 0.8372093023255814, 0.8604651162790697, 0.8604651162790697, 0.9069767441860465, 0.9069767441860465, 0.9069767441860465, 0.9069767441860465, 0.9069767441860465, 0.9069767441860465]","[0.7391304347826086, 0.7422680412371134, 0.74, 0.74, 0.7722772277227723, 0.7722772277227723, 0.78, 0.78, 0.7878787878787877, 0.7878787878787877]","[0.6938775510204082, 0.6666666666666666, 0.6491228070175439, 0.6491228070175439, 0.6724137931034483, 0.6724137931034483, 0.6842105263157895, 0.6842105263157895, 0.6964285714285714, 0.6964285714285714]",0.9735294117647059,0.4675141242937853,0.6316793893129766
"[0.9532163742690059, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315]","[0.8556430446194226, 0.8686327077747988, 0.8780487804878049, 0.8828337874659401, 0.8828337874659401, 0.8828337874659401, 0.8852459016393444, 0.8876712328767123, 0.8901098901098902, 0.8925619834710744]","[0.7761904761904762, 0.801980198019802, 0.8181818181818182, 0.826530612244898, 0.826530612244898, 0.826530612244898, 0.8307692307692308, 0.8350515463917526, 0.8393782383419689, 0.84375]",0.9655172413793104,0.2768361581920904,0.4302963776070249
"[0.9779735682819384, 0.9779735682819384, 0.973568281938326, 0.973568281938326, 0.973568281938326, 0.9779735682819384, 0.9779735682819384, 0.973568281938326, 0.9779735682819384, 0.9779735682819384]","[0.9154639175257733, 0.9192546583850932, 0.9227557411273486, 0.9227557411273486, 0.9227557411273486, 0.925, 0.925, 0.9246861924686193, 0.9269311064718162, 0.9308176100628931]","[0.8604651162790697, 0.8671875, 0.876984126984127, 0.876984126984127, 0.876984126984127, 0.8774703557312253, 0.8774703557312253, 0.8804780876494024, 0.8809523809523809, 0.888]",0.9611307420494699,0.384180790960452,0.548940464177598
"[0.9336870026525199, 0.9637488947833776, 0.9725906277630415, 0.9796640141467727, 0.9832007073386384, 0.9885057471264368, 0.9920424403183024, 0.9929266136162688, 0.9938107869142352, 0.9938107869142352]","[0.8960543063215953, 0.9260832625318606, 0.9474590869939706, 0.9613882863340564, 0.9673771204871684, 0.9755671902268761, 0.978204010462075, 0.9812145041502841, 0.9829470922606034, 0.9842381786339754]","[0.8613376835236541, 0.8912510220768601, 0.9235936188077246, 0.9437819420783645, 0.952054794520548, 0.9629629629629629, 0.9647463456577816, 0.9697754749568221, 0.972318339100346, 0.9748482220294883]",0.9436392914653784,0.827683615819209,0.8818660647103079
"[0.9210526315789473, 0.9210526315789473, 0.9210526315789473, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895, 0.9473684210526315, 0.9473684210526315]","[0.7608695652173912, 0.7777777777777778, 0.7954545454545453, 0.8208092485549132, 0.8208092485549132, 0.8352941176470589, 0.8352941176470589, 0.8352941176470589, 0.8470588235294116, 0.8470588235294116]","[0.6481481481481481, 0.6730769230769231, 0.7, 0.7319587628865979, 0.7319587628865979, 0.7553191489361702, 0.7553191489361702, 0.7553191489361702, 0.7659574468085106, 0.7659574468085106]",0.9723404255319149,0.6454802259887006,0.7758913412563663
"[0.8863636363636364, 0.8863636363636364, 0.8863636363636364, 0.8863636363636364, 0.8863636363636364, 0.8863636363636364, 0.8863636363636364, 0.8863636363636364, 0.8863636363636364, 0.8863636363636364]","[0.7155963302752293, 0.7572815533980584, 0.7647058823529411, 0.7722772277227723, 0.7722772277227723, 0.7722772277227723, 0.7799999999999999, 0.7799999999999999, 0.7799999999999999, 0.7799999999999999]","[0.6, 0.6610169491525424, 0.6724137931034483, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.6964285714285714, 0.6964285714285714, 0.6964285714285714, 0.6964285714285714]",0.9879518072289156,0.4632768361581921,0.6307692307692302
"[0.8888888888888888, 0.8654970760233918, 0.8888888888888888, 0.8888888888888888, 0.9122807017543859, 0.9064327485380117, 0.9122807017543859, 0.9122807017543859, 0.9181286549707602, 0.9181286549707602]","[0.6666666666666667, 0.7115384615384616, 0.7360774818401936, 0.748768472906404, 0.7703703703703703, 0.7828282828282829, 0.8020565552699229, 0.8082901554404145, 0.8219895287958116, 0.8395721925133691]","[0.5333333333333333, 0.6040816326530613, 0.628099173553719, 0.6468085106382979, 0.6666666666666666, 0.6888888888888889, 0.7155963302752294, 0.7255813953488373, 0.7440758293838863, 0.7733990147783252]",0.9390243902439024,0.10875706214689265,0.19493670886075926
"[0.9982316534040672, 0.9964633068081344, 0.9964633068081344, 0.9964633068081344, 0.9964633068081344, 0.995579133510168, 0.9964633068081344, 0.995579133510168, 0.9964633068081344, 0.995579133510168]","[0.9212566299469606, 0.9579260518487039, 0.9611940298507463, 0.969462365591398, 0.9686291362269015, 0.9736273238218763, 0.972809667673716, 0.979982593559617, 0.9774501300954034, 0.983406113537118]","[0.8553030303030303, 0.9222585924713584, 0.92833607907743, 0.9438860971524288, 0.9423076923076923, 0.9526226734348562, 0.9502529510961214, 0.9648671808054842, 0.9591489361702128, 0.9715271786022434]",0.9767441860465116,0.5932203389830508,0.7381370826010539
"[0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158, 0.9736842105263158]","[0.8902439024390244, 0.8957055214723926, 0.906832298136646, 0.906832298136646, 0.906832298136646, 0.9192546583850931, 0.9192546583850931, 0.925, 0.925, 0.925]","[0.8295454545454546, 0.8390804597701149, 0.8588235294117647, 0.8588235294117647, 0.8588235294117647, 0.8705882352941177, 0.8705882352941177, 0.8809523809523809, 0.8809523809523809, 0.8809523809523809]",0.9771573604060914,0.5437853107344632,0.698729582577132
"[0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857]","[0.775, 0.8157894736842105, 0.8157894736842105, 0.8157894736842105, 0.8266666666666667, 0.8378378378378378, 0.8378378378378378, 0.8378378378378378, 0.8378378378378378, 0.8611111111111112]","[0.6888888888888889, 0.7560975609756098, 0.7560975609756098, 0.7560975609756098, 0.775, 0.7948717948717948, 0.7948717948717948, 0.7948717948717948, 0.7948717948717948, 0.8378378378378378]",0.972972972972973,0.3559322033898305,0.5211995863495342
"[0.8449612403100775, 0.8604651162790697, 0.8604651162790697, 0.8682170542635659, 0.8682170542635659, 0.8682170542635659, 0.875968992248062, 0.8914728682170543, 0.8914728682170543, 0.8992248062015504]","[0.8134328358208954, 0.8102189781021898, 0.7956989247311828, 0.8, 0.7915194346289752, 0.7887323943661972, 0.7929824561403509, 0.8013937282229965, 0.8013937282229965, 0.8083623693379791]","[0.7841726618705036, 0.7655172413793103, 0.74, 0.7417218543046358, 0.7272727272727273, 0.7225806451612903, 0.7243589743589743, 0.7278481012658228, 0.7278481012658228, 0.7341772151898734]",0.95,0.4293785310734463,0.5914396887159528
"[0.9080996884735203, 0.9143302180685359, 0.9205607476635514, 0.9283489096573209, 0.926791277258567, 0.926791277258567, 0.9299065420560748, 0.9299065420560748, 0.9299065420560748, 0.9283489096573209]","[0.7757817697937459, 0.7953929539295392, 0.8134893324156918, 0.827203331020125, 0.8392101551480959, 0.8469750889679716, 0.8534667619728378, 0.8664731494920175, 0.8740849194729136, 0.87582659808964]","[0.6771196283391405, 0.7038369304556354, 0.7287299630086314, 0.7459324155193993, 0.7667525773195877, 0.7798165137614679, 0.7886393659180978, 0.811141304347826, 0.824585635359116, 0.8289290681502086]",0.9695431472081218,0.53954802259887,0.6932849364791284
"[0.9048361934477379, 0.9032761310452418, 0.9032761310452418, 0.906396255850234, 0.9079563182527302, 0.9095163806552262, 0.9157566302652106, 0.9157566302652106, 0.9173166926677067, 0.9173166926677067]","[0.9020217729393468, 0.9011673151750972, 0.9039812646370025, 0.906396255850234, 0.9079563182527302, 0.91164972634871, 0.9143302180685359, 0.9143302180685359, 0.9173166926677067, 0.9187499999999998]","[0.8992248062015504, 0.8990683229813664, 0.9046875, 0.906396255850234, 0.9079563182527302, 0.9137931034482759, 0.9129082426127527, 0.9129082426127527, 0.9173166926677067, 0.92018779342723]",0.9659090909090909,0.480225988700565,0.6415094339622637
