,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
120,1424,12,59,859,634,469,0,2001-09-20 10:10:10,1000980610,32,220
121,2345,15,412,1358,1084,607,0,2001-09-20 10:15:10,1000980910,33,422
122,1601,15,205,1068,598,597,0,2001-09-20 10:20:10,1000981210,19,225
123,2366,13,87,1837,777,665,0,2001-09-20 10:25:10,1000981510,16,311
124,2016,15,128,1459,830,719,0,2001-09-20 10:30:10,1000981810,217,647
125,1432,14,148,935,427,541,0,2001-09-20 10:35:10,1000982110,11,151
126,1610,17,158,1011,487,564,0,2001-09-20 10:40:10,1000982410,70,307
127,1693,14,148,1317,821,633,0,2001-09-20 10:45:10,1000982710,15,244
128,1734,17,239,1068,909,588,0,2001-09-20 10:50:10,1000983010,195,493
129,2114,13,325,1505,697,775,1,2001-09-20 10:55:10,1000983310,33,250
130,2787,15,395,1793,1219,810,3,2001-09-20 11:00:10,1000983610,28,385
131,3053,18,280,2290,807,759,0,2001-09-20 11:05:10,1000983910,181,887
132,1217,14,94,811,480,520,0,2001-09-20 11:10:10,1000984210,45,437
133,1327,18,45,711,486,488,0,2001-09-20 11:15:10,1000984510,18,276
134,973,18,95,550,263,452,0,2001-09-20 11:20:10,1000984810,28,137
135,1230,13,134,760,224,381,0,2001-09-20 11:25:10,1000985110,41,347
136,1279,12,185,840,303,528,0,2001-09-20 11:30:10,1000985410,23,175
137,1251,12,110,748,326,554,0,2001-09-20 11:35:10,1000985710,38,214
138,3062,16,317,1457,987,771,0,2001-09-20 11:40:10,1000986010,125,653
139,1829,18,118,1121,618,564,0,2001-09-20 11:45:10,1000986310,33,592
140,1711,11,117,1313,396,530,0,2001-09-20 11:50:10,1000986610,30,249
141,2356,13,431,1243,869,671,0,2001-09-20 11:55:10,1000986910,41,298
142,2060,14,124,1178,512,507,0,2001-09-20 12:00:10,1000987210,47,344
143,1936,18,93,1601,546,527,0,2001-09-20 12:05:10,1000987510,15,141
144,1415,16,80,798,547,492,0,2001-09-20 12:10:10,1000987810,55,220
145,1703,12,94,1167,582,519,0,2001-09-20 12:15:10,1000988110,21,315
146,1850,12,97,1325,451,773,0,2001-09-20 12:20:10,1000988410,81,326
147,1391,12,116,941,406,492,0,2001-09-20 12:25:10,1000988710,35,227
148,2132,15,150,1404,572,452,0,2001-09-20 12:30:10,1000989010,50,506
149,3200,11,403,2395,1107,1009,0,2001-09-20 12:35:10,1000989310,69,408
150,1091,21,55,799,227,549,0,2001-09-20 12:40:10,1000989610,41,274
151,1929,16,72,1360,479,672,0,2001-09-20 12:45:10,1000989910,15,324
152,7375,20,154,4026,3791,1703,4,2001-09-20 12:50:10,1000990210,34,680
153,2577,25,145,867,1643,829,0,2001-09-20 12:55:10,1000990510,45,412
154,988,19,68,575,262,481,0,2001-09-20 13:00:10,1000990810,18,268
155,2065,14,69,1687,992,616,0,2001-09-20 13:05:10,1000991110,18,299
156,1024,14,76,677,273,459,0,2001-09-20 13:10:10,1000991410,33,315
