,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
52,224,137,1021,4,11,0,181,1.2893700787401574,210,498,1,216,54,6,8,17,6,0,0,10,210,498,1,216,54,6,8,17,6,0,0,11,791,774,17,33,5,525,0,424,0,0.0,0,2015-06-10 04:25:00,1433910300,4,7,0,51
53,91,158,2208,9,11,0,52,1.216946676406136,75,1141,0,72,8,19,49,1,3,0,1,9,75,1141,0,72,8,19,49,1,3,0,1,16,1217,1211,6,84,839,1179,0,367,0,0.0,0,2015-06-10 04:30:00,1433910600,6,7,0,89
54,236,168,906,3,15,0,81,1.4369469026548674,96,438,0,308,30,23,2,3,1,1,1,11,96,438,0,308,30,23,2,3,1,1,1,9,773,767,6,41,2,573,0,402,0,0.0,0,2015-06-10 04:35:00,1433910900,3,8,0,928
55,225,246,793,11,15,0,75,1.9175126903553301,89,388,0,168,73,7,5,18,2,6,4,12,89,388,0,168,73,7,5,18,2,6,4,11,655,652,3,47,5,512,0,365,0,0.0,0,2015-06-10 04:40:00,1433911200,6,10,0,34
56,109,92,484,4,14,0,48,1.3978947368421053,54,291,0,86,10,16,6,8,3,1,0,8,54,291,0,86,10,16,6,8,3,1,0,4,377,375,2,46,9,305,0,257,0,0.0,0,2015-06-10 04:45:00,1433911500,4,7,0,51
57,256,127,795,4,18,0,94,1.6958174904942966,114,357,0,164,59,51,24,15,2,0,0,16,114,357,0,164,59,51,24,15,2,0,0,15,653,648,5,27,6,399,2,366,0,0.0025157232704402514,1,2015-06-10 04:50:00,1433911800,4,7,0,88
58,451,251,1192,11,13,0,129,1.6252100840336134,152,459,0,395,78,91,7,4,4,0,0,7,152,459,0,395,78,91,7,4,4,0,0,8,1006,991,15,47,2,546,39,452,0,0.03271812080536913,3,2015-06-10 04:55:00,1433912100,5,7,0,72
59,784,400,1897,5,11,0,142,1.6619718309859155,167,1044,0,169,299,121,20,4,19,0,0,16,167,1044,0,169,299,121,20,4,19,0,0,16,1607,1599,8,81,51,1065,64,620,0,0.03373748023194518,3,2015-06-10 05:00:00,1433912400,5,8,0,179
60,424,448,1461,5,15,0,225,1.224126113776559,273,855,0,196,84,22,6,3,15,3,1,13,273,855,0,196,84,22,6,3,15,3,1,16,1089,1063,26,129,2,880,34,601,0,0.023271731690622858,2,2015-06-10 05:05:00,1433912700,4,8,0,91
61,313,148,844,6,16,0,71,1.4492234169653524,91,492,0,161,31,36,5,14,4,2,1,9,91,492,0,161,31,36,5,14,4,2,1,15,701,697,4,50,7,438,28,365,0,0.03317535545023697,3,2015-06-10 05:10:00,1433913000,5,7,0,69
62,154,108,673,5,19,0,91,1.5081967213114753,116,351,0,92,77,5,3,21,1,0,0,17,116,351,0,92,77,5,3,21,1,0,0,10,544,529,15,26,2,452,40,350,0,0.05943536404160475,2,2015-06-10 05:15:00,1433913300,5,8,0,44
63,234,223,776,11,17,0,86,1.5429326287978864,103,437,0,106,52,10,13,23,7,1,0,14,103,437,0,106,52,10,13,23,7,1,0,11,616,610,6,44,19,447,40,366,0,0.05154639175257732,2,2015-06-10 05:20:00,1433913600,5,8,0,65
64,375,112,975,4,15,0,78,1.2921810699588476,97,670,4,128,43,10,8,7,2,2,1,10,97,670,4,128,43,10,8,7,2,2,1,10,819,810,9,65,3,697,30,372,0,0.030769230769230767,2,2015-06-10 05:25:00,1433913900,4,8,0,68
65,336,244,915,5,18,0,163,1.2234513274336285,172,534,0,119,11,46,20,1,0,0,0,11,172,534,0,119,11,46,20,1,0,0,0,5,691,687,4,45,11,350,41,384,0,0.04480874316939891,3,2015-06-10 05:30:00,1433914200,5,8,0,94
66,161,593,1101,4,17,0,82,1.7561643835616438,101,542,0,252,72,63,13,28,21,1,1,12,101,542,0,252,72,63,13,28,21,1,1,8,907,897,10,98,6,924,24,428,0,0.021798365122615803,2,2015-06-10 05:35:00,1433914500,4,8,0,49
67,685,187,2149,3,14,0,547,1.399906672888474,776,627,1,134,390,187,6,15,3,0,4,10,776,627,1,134,390,187,6,15,3,0,4,9,1570,1351,219,17,6,1118,53,425,0,0.02466263378315496,3,2015-06-10 05:40:00,1433914800,3,7,0,173
68,187,394,1058,12,34,0,115,2.1875,288,156,0,208,230,121,18,12,1,2,0,32,288,156,0,208,230,121,18,12,1,2,0,3,898,728,170,40,2,692,20,352,0,0.01890359168241966,2,2015-06-10 05:45:00,1433915100,6,7,0,72
69,68,95,698,6,12,0,119,1.0,278,183,0,204,19,3,4,1,1,0,0,7,278,183,0,204,19,3,4,1,1,0,0,5,531,378,153,38,5,373,12,308,0,0.017191977077363897,1,2015-06-10 05:50:00,1433915400,5,8,0,22
70,117,108,629,5,30,0,137,1.2147435897435896,227,233,0,101,29,8,4,14,2,2,0,26,227,233,0,101,29,8,4,14,2,2,0,8,445,363,82,34,5,421,42,359,0,0.06677265500794913,3,2015-06-10 05:55:00,1433915700,5,9,0,55
71,196,557,1183,4,31,0,139,2.2127659574468086,145,355,0,134,450,49,7,13,2,0,0,17,145,355,0,134,450,49,7,13,2,0,0,4,900,898,2,132,8,898,32,441,0,0.02704987320371936,3,2015-06-10 06:00:00,1433916000,4,9,0,70
72,148,125,678,4,12,0,184,1.2869955156950672,214,216,0,158,40,11,18,11,0,0,1,9,214,216,0,158,40,11,18,11,0,0,1,6,454,430,24,25,9,398,30,336,0,0.04424778761061947,3,2015-06-10 06:05:00,1433916300,4,9,0,48
73,455,166,2400,4,20,0,483,1.029486099410278,605,1509,0,107,62,31,27,20,4,3,0,27,605,1509,0,107,62,31,27,20,4,3,0,117,1424,1419,5,350,26,1150,49,877,0,0.020416666666666663,3,2015-06-10 06:10:00,1433916600,4,8,0,528
74,344,333,1520,6,20,0,80,1.7785102175346077,88,765,0,525,35,40,6,6,32,0,0,17,88,765,0,525,35,40,6,6,32,0,0,4,1384,1380,4,49,3,872,24,387,0,0.015789473684210527,3,2015-06-10 06:15:00,1433916900,6,8,0,45
75,244,261,800,6,23,0,73,1.8348045397225723,86,299,0,214,135,17,17,18,6,0,0,20,86,299,0,214,135,17,17,18,6,0,0,11,653,651,2,56,7,492,19,288,0,0.02375,3,2015-06-10 06:20:00,1433917200,6,8,0,62
76,195,167,713,5,13,0,144,1.3792134831460674,166,316,0,144,45,7,8,8,17,1,0,8,166,316,0,144,45,7,8,8,17,1,0,12,506,497,9,50,1,391,18,356,0,0.025245441795231416,2,2015-06-10 06:25:00,1433917500,5,8,0,69
77,145,167,622,5,15,0,46,1.9854838709677418,58,302,0,149,41,31,6,17,2,0,0,17,58,302,0,149,41,31,6,17,2,0,0,9,530,527,3,35,2,344,14,345,0,0.022508038585209004,2,2015-06-10 06:30:00,1433917800,5,8,0,41
78,97,167,623,6,20,0,55,1.3569131832797428,242,149,0,119,36,57,8,6,1,1,2,12,242,149,0,119,36,57,8,6,1,1,2,10,486,309,177,71,1,471,36,315,0,0.05778491171749599,3,2015-06-10 06:35:00,1433918100,4,8,0,27
79,624,327,1715,5,28,0,174,3.7157956547269526,191,792,0,96,42,22,21,71,19,196,66,19,191,792,0,96,42,22,21,71,19,196,66,7,1495,1485,10,27,12,736,51,569,0,0.029737609329446062,3,2015-06-10 06:40:00,1433918400,5,9,0,53
80,179,192,557,4,24,0,42,2.2611111111111106,49,276,0,114,27,15,8,3,29,1,0,20,49,276,0,114,27,15,8,3,29,1,0,6,456,456,0,36,17,322,28,269,0,0.05026929982046679,2,2015-06-10 06:45:00,1433918700,4,9,0,37
81,174,105,954,4,24,0,301,1.017970401691332,312,452,2,114,40,9,7,8,0,1,0,16,312,452,2,114,40,9,7,8,0,1,0,7,589,585,4,49,8,574,21,432,0,0.0220125786163522,2,2015-06-10 06:50:00,1433919000,4,9,0,76
82,418,322,1572,4,25,0,221,1.3781887755102042,244,879,2,252,144,14,12,4,3,4,1,20,244,879,2,252,144,14,12,4,3,4,1,14,1273,1266,7,60,4,796,63,606,0,0.040076335877862586,3,2015-06-10 06:55:00,1433919300,4,8,0,130
83,561,264,1534,4,24,0,187,1.4237967914438503,218,826,0,296,81,14,21,29,2,0,0,15,218,826,0,296,81,14,21,29,2,0,0,28,1223,1221,2,58,38,896,31,585,0,0.020208604954367663,2,2015-06-10 07:00:00,1433919600,4,8,0,83
84,140,360,869,3,13,0,78,1.462984723854289,96,522,0,131,46,18,8,20,4,1,1,12,96,522,0,131,46,18,8,20,4,1,1,4,716,702,14,53,18,674,26,363,0,0.029919447640966632,4,2015-06-10 07:05:00,1433919900,3,8,0,86
85,217,244,1096,7,16,0,46,1.5004566210045662,60,572,0,376,59,13,6,5,2,2,0,8,60,572,0,376,59,13,6,5,2,2,0,10,1004,1000,4,35,1,575,30,385,0,0.027372262773722632,2,2015-06-10 07:10:00,1433920200,4,8,0,92
86,117,132,759,4,20,0,79,1.4171122994652403,102,461,0,88,40,9,25,19,4,0,0,7,102,461,0,88,40,9,25,19,4,0,0,19,584,581,3,66,11,576,26,485,0,0.034255599472990776,2,2015-06-10 07:15:00,1433920500,4,8,0,65
87,146,145,578,4,16,0,51,1.6817391304347826,63,269,2,130,70,26,6,2,5,0,1,18,63,269,2,130,70,26,6,2,5,0,1,5,481,474,7,38,3,392,21,266,0,0.03633217993079585,3,2015-06-10 07:20:00,1433920800,4,9,0,24
88,205,90,885,5,12,0,163,1.6206115515288788,176,419,0,128,19,12,125,3,0,1,0,8,176,419,0,128,19,12,125,3,0,1,0,4,638,629,9,78,2,435,22,334,0,0.02485875706214689,2,2015-06-10 07:25:00,1433921100,5,8,0,89
89,255,67,729,7,22,0,128,1.335195530726257,137,372,2,135,19,25,21,4,0,1,0,10,137,372,2,135,19,25,21,4,0,1,0,6,536,533,3,46,13,446,13,302,0,0.01783264746227709,2,2015-06-10 07:30:00,1433921400,4,10,0,163
90,52,84,307,5,16,0,41,1.4932885906040267,52,148,0,45,27,9,14,2,0,1,0,8,52,148,0,45,27,9,14,2,0,1,0,9,201,200,1,47,9,207,15,225,0,0.0488599348534202,3,2015-06-10 07:35:00,1433921700,5,8,0,42
91,479,361,1721,5,19,0,290,1.4405594405594406,322,672,1,526,137,25,14,9,2,2,1,20,322,672,1,526,137,25,14,9,2,2,1,29,1260,1259,1,137,5,927,137,751,0,0.07960488088320744,3,2015-06-10 07:40:00,1433922000,5,8,0,196
92,168,830,1777,8,14,0,31,2.195754716981132,48,740,1,408,240,59,38,135,22,3,1,15,48,740,1,408,240,59,38,135,22,3,1,11,1593,1587,6,61,81,1491,71,541,0,0.03995498030388295,2,2015-06-10 07:45:00,1433922300,6,11,0,52
93,1550,475,3730,17,20,0,189,2.109706910459801,200,1776,9,1077,181,54,44,67,209,62,2,15,200,1776,9,1077,181,54,44,67,209,62,2,7,3468,3464,4,55,11,2044,66,977,0,0.01769436997319035,3,2015-06-10 07:50:00,1433922600,7,9,0,42
94,131,231,641,5,24,0,84,2.484375,101,216,5,117,45,13,21,105,3,4,1,17,101,216,5,117,45,13,21,105,3,4,1,9,424,416,8,123,1,440,15,387,0,0.0234009360374415,2,2015-06-10 07:55:00,1433922900,5,10,0,78
95,364,294,2313,6,20,0,1141,1.3283384750991627,1162,517,20,237,186,24,16,27,4,13,1,14,1162,517,20,237,186,24,16,27,4,13,1,11,1029,1019,10,88,44,1067,60,816,0,0.02594033722438392,3,2015-06-10 08:00:00,1433923200,6,9,0,67
96,157,283,1011,5,16,0,84,1.5090180360721444,103,612,1,164,69,8,5,28,0,1,0,19,103,612,1,164,69,8,5,28,0,1,0,13,818,813,5,83,13,666,32,474,0,0.03165182987141444,3,2015-06-10 08:05:00,1433923500,5,10,0,81
97,354,262,1455,4,28,0,47,1.492008339124392,71,936,0,285,82,29,6,15,4,6,0,25,71,936,0,285,82,29,6,15,4,6,0,18,1344,1338,6,30,16,710,18,499,0,0.012371134020618556,2,2015-06-10 08:10:00,1433923800,4,9,0,68
98,179,178,971,6,16,0,171,1.564632885211996,185,446,5,171,63,14,75,6,1,0,0,12,185,446,5,171,63,14,75,6,1,0,0,13,720,719,1,63,4,734,30,348,0,0.030895983522142127,2,2015-06-10 08:15:00,1433924100,6,9,0,76
99,153,140,734,3,15,0,73,1.2524137931034482,96,437,1,147,23,9,10,2,0,0,0,10,96,437,1,147,23,9,10,2,0,0,0,12,586,575,11,54,9,520,25,330,0,0.0340599455040872,2,2015-06-10 08:20:00,1433924400,3,8,0,65
100,319,262,1405,3,13,0,268,1.555238774055595,298,601,1,273,65,38,103,15,5,0,3,11,298,601,1,273,65,38,103,15,5,0,3,8,1104,1083,21,23,2,787,26,557,0,0.018505338078291814,4,2015-06-10 08:25:00,1433924700,3,8,0,60
101,249,305,1139,5,34,0,182,2.27336860670194,199,403,4,188,167,37,71,17,23,8,2,32,199,403,4,188,167,37,71,17,23,8,2,6,806,795,11,140,5,716,16,483,0,0.014047410008779631,1,2015-06-10 08:30:00,1433925000,5,9,0,59
