,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
126,1197,16,23,870.0,348,375,0,2001-07-17 10:39:52,995366392,6,219
127,1446,12,109,927.0,379,496,0,2001-07-17 10:44:52,995366692,17,265
128,3472,15,86,2211.0,1106,772,0,2001-07-17 10:49:52,995366992,21,677
129,1841,16,117,1362.0,837,450,0,2001-07-17 10:54:52,995367292,30,344
130,1605,14,191,938.0,380,501,0,2001-07-17 10:59:52,995367592,101,401
131,1420,15,69,1013.0,294,341,0,2001-07-17 11:04:52,995367892,15,257
132,1240,13,179,799.0,346,379,0,2001-07-17 11:09:52,995368192,17,165
133,851,14,54,485.0,318,267,0,2001-07-17 11:14:52,995368492,5,130
134,1116,13,31,737.0,390,462,0,2001-07-17 11:19:52,995368792,51,413
135,1564,13,60,1069.0,495,325,0,2001-07-17 11:24:52,995369092,23,233
136,1492,12,53,1035.0,464,422,0,2001-07-17 11:29:52,995369392,3,126
137,951,13,92,678.0,298,362,0,2001-07-17 11:34:52,995369692,18,143
138,1047,14,40,818.0,248,347,0,2001-07-17 11:39:52,995369992,9,129
139,583,11,15,346.0,266,222,0,2001-07-17 11:44:52,995370292,50,177
140,1076,15,40,833.0,322,288,4,2001-07-17 11:49:52,995370592,14,195
141,1111,13,44,770.0,228,392,0,2001-07-17 11:54:52,995370892,29,222
142,436,15,18,319.0,123,251,6,2001-07-17 11:59:52,995371192,7,102
143,936,13,111,497.0,333,371,0,2001-07-17 12:04:52,995371492,87,258
144,812,13,24,558.0,209,312,0,2001-07-17 12:09:52,995371792,21,242
145,1488,12,33,999.0,351,308,0,2001-07-17 12:14:52,995372092,23,416
146,1801,13,66,1421.0,307,350,0,2001-07-17 12:19:52,995372392,53,341
147,1835,13,117,1288.0,316,378,0,2001-07-17 12:24:52,995372692,28,366
148,939,19,42,533.0,256,359,1,2001-07-17 12:29:52,995372992,26,284
149,3294,12,88,1671.0,571,472,1,2001-07-17 12:34:52,995373292,34,1005
150,708,14,69,382.0,196,264,0,2001-07-17 12:39:52,995373592,29,199
151,964,12,41,754.0,237,268,0,2001-07-17 12:44:52,995373892,2,206
152,6016,16,1567,2616.0,2066,1468,5,2001-07-17 12:49:52,995374192,24,306
153,1115,16,24,843.0,257,343,0,2001-07-17 12:54:52,995374492,29,264
154,703,13,31,434.0,217,351,0,2001-07-17 12:59:52,995374792,20,152
155,1238,13,13,902.0,323,302,0,2001-07-17 13:04:52,995375092,42,302
